"country","outcome","n_admin2","reach_at_20pct","lift_vs_no_targeting","hit_rate_top20","note"
"Gambia","child_vitA",30,0.302,1.42,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Gambia","women_vitA",30,0.594,3.59,0.667,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Gambia","child_iron",30,0.225,1.09,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Gambia","women_iron",30,0.257,1.41,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","child_vitA",75,0.31,1.5,0.4,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","women_vitA",75,0.188,1.11,0.2,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","child_iron",75,0.337,1.76,0.533,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","women_iron",75,0.288,1.43,0.533,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","women_folate",75,0.236,1.15,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","women_b12",75,0.482,2.54,0.533,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","child_vitA",14,0.253,1.18,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","women_vitA",14,0.382,1.79,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","child_iron",14,0.417,2.07,0.667,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","women_iron",14,0.232,1.17,0.667,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","women_folate",14,0.228,1.14,0.667,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","women_b12",14,0.424,1.82,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","child_vitA",87,0.185,0.89,0.118,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_vitA",87,0.182,0.89,0.235,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","child_iron",87,0.249,1.24,0.412,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_iron",87,0.225,1.13,0.176,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_folate",87,0.387,1.94,0.529,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_b12",87,0.387,1.34,0.294,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","child_zinc",87,0.192,0.96,0.176,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_zinc",87,0.23,1.15,0.235,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
