rule_id,column_regex,year_rule,note
dhs_round,^dhs_,per_country:Gambia=2019;Ghana=2014;Malawi=2015;SierraLeone=2013,"DHS round paired with each micronutrient survey (R/config.R dhs_year): Gambia 2019-20 (no 2018 round), Ghana 2014 (MICS 2017-18 is the same-year alternative), Malawi 2015-16 (nested in the MNS; 105 overlapping clusters dropped), Sierra Leone 2013."
alphaearth_2017,^aef_,fixed:2017,AlphaEarth Foundations embeddings start in 2017; one fixed year for every country (scripts/covariates/01_extract_alphaearth.R). Unavoidable -4 years for Sierra Leone.
hces_year,^hces_,per_country:Gambia=2015;Ghana=2016;Malawi=2016;SierraLeone=2018,"IHS 2015/16, GLSS7 2016/17, IHS4 2016-17, SLIHS 2018 (fieldwork start year)."
rtfp_window,^rtfp_,survey_year,12 months ending in the survey's last fieldwork month (metadata/survey_years.csv).
mics_heat_round,^mics_heat_,per_country:Gambia=2018;Ghana=2017;Malawi=2014;SierraLeone=2010,MICS round nearest the survey in the WHO HEAT export (script 59 block G).
mics_microdata,^mics_,per_country:Gambia=2018;Ghana=2017;Malawi=2014;SierraLeone=2017,"MICS microdata block (scripts/covariates/build_mics_admin2_block.R): MICS6 2018, MICS6 2017-18, MICS5 2013-14, MICS6 2017."
gfdx_who_anaemia_2011,^gfdx_anemia_,fixed:2011,WHO 2011 anaemia prevalence carried by GFDx; not a fortification field.
gfdx_zinc_2012,^gfdx_zinc_def_,fixed:2012,Wessells & Brown 2012 zinc-deficiency risk carried by GFDx.
gfdx_ntd_2015,^gfdx_ntd_,fixed:2015,Neural-tube-defect rate carried by GFDx (Blencowe et al. 2018 estimates for 2015).
gfdx_survey_year,^gfdx_.*_sy$,survey_year,GFDx programme fields at the survey year (script 59 block C).
map_blood_2012,^map_blooddisorders2012,fixed:2012,"MAP blood-disorder allele-frequency surfaces, 2012 release (static genetics)."
map_survey_year,^map_sy_,survey_year,Malaria Atlas annual layer at the survey year (script 52).
espen_base,^espen_.*_base$,fixed:2014,ESPEN endemicity at the earliest reported year (2014).
espen_mda,^espen_.*_(mda_share|cov_mean)$,fixed:2016,ESPEN mass-drug-administration share / coverage over 2014-2018 (window midpoint).
espen_nearest,^espen_,nearest_in_range:2014-2025,ESPEN implementation-unit endemicity at the year nearest the survey (script 49).
ihme_to_2019,^ihme_(allanemia|mildanemia|moderateanemia|severeanemia|ebfprevalence|mcv1?coverage|malaria_),nearest_in_range:2000-2019,"IHME LBD surfaces whose series run to 2019 (anaemia, EBF, MCV, malaria); year nearest the survey (script 08 / 48)."
ihme_to_2018,^ihme_(hivprevalence|lf_|oncho_),nearest_in_range:2000-2018,"IHME HIV, lymphatic filariasis and onchocerciasis surfaces run to 2018; year nearest the survey."
ihme_to_2017,^ihme_,nearest_in_range:2000-2017,"IHME LBD surfaces whose series stop at 2017 (child growth failure, education, WASH, ORS); year nearest the survey."
fprice_window,^fprice_,survey_year,WFP market prices averaged over survey year +/- 2 (script 07).
fao_supply,^fao_,survey_year,"FAOSTAT food balance at the survey year, national (script 07)."
fsec_window,^fsec_,survey_year,HFID food-security indicators averaged over survey year +/- 2 (script 08).
who_anaemia_sy,^who_anaemia_,survey_year,WHO Global Anaemia Estimates at the survey year; trend5 = change over the five years to it (script 59).
vas_sy,^vas_,survey_year,UNICEF VAS coverage at the year nearest the survey (script 59).
flunet_sy,^flunet_,survey_year,FluNet at the survey year (script 59).
