"rule_id","column_regex","domain","note"
"infection","^(map_sy_|map_blooddisorders|dhs_ML_|espen_|flunet_)|^dhs_c_(ari_2wk|diarrhea_2wk|fever_2wk|slept_itn|zinc_diarrhea)$|^dhs_CH_DIAT|^dhs_hh_itn_any$|^ihme_(malaria_|u5_diarrhoea|lf_|oncho_|hivprevalence|oralrehydrationsolution|orsorrhf|recommendedhomefluids|malecircumcisionprevalence|prevalence$|deaths$|incidence$)|^mics_(c_diarrhoea_2wk|c_fever_2wk|c_cough_2wk|w_iptp_sp)$","Infection and inflammation burden","Malaria (MAP, DHS nets, IHME), helminths (ESPEN), recent diarrhoea / fever / ARI, ORS, HIV, influenza surveillance: the infection and inflammation drivers of ferritin, RBP and zinc that were spread over four domains (DA-01 could not weight them as one)."
"immunisation","^dhs_c_(bcg|dpt1|dpt3|fully_vaccinated|measles1|no_vaccination|polio3)$|^dhs_CH_VACC|^mics_heat_v|^ihme_mcv1?coverage$","Immunisation","Vaccination coverage from DHS, MICS (HEAT) and IHME MCV."
"anaemia","^dhs_c_(anemia_any|anemia_moderate|mean_hemoglobin)$|^dhs_w_anemia_|^dhs_AN_ANEM|^dhs_CN_ANMC|^ihme_(allanemia|mildanemia|moderateanemia|severeanemia)$|^who_anaemia_|^gfdx_anemia_","Anaemia and haemoglobin","External anaemia / haemoglobin information (LK-02: legitimate when not from the biomarker survey itself); one domain so the with/without arm can address it as a unit."
"anthropometry","^dhs_c_(mean_haz|mean_waz|mean_whz|stunted|severely_stunted|wasted|severely_wasted|underweight|overweight|low_birthweight|mean_birthweight|small_at_birth)$|^dhs_CN_NUTS|^ihme_(stunting|wasting|underweight|overweight)prevalence$|^mics_c_(stunted|wasted|underweight|mean_haz)$","Child anthropometry","Growth failure and birth size from DHS, MICS and the IHME surfaces."
"iycf","^dhs_c_(bottle_fed|early_initiation|iron_rich_food|min_diet_diversity|vita_rich_food|diet_diversity_score|fg_|diet_groups_n|mdd_4plus)|^dhs_CN_BRFS|^ihme_ebfprevalence$|^mics_c_(mdd|fg_)","Infant and young child feeding","Breastfeeding and complementary-feeding food groups (DHS, MICS, IHME EBF)."
"supplementation","^dhs_c_(vita_supplement|vita_capsule|deworm_6mo)$|^mics_salt_|^mics_c_vas_6mo$","Food fortification and supplementation","Vitamin A supplementation, deworming and household salt iodine join the fortification programme fields."
"wash","^ihme_(wimp|wimpother|wpiped|wsurface|wunimp|simp|simpother|sod|spiped|sunimp)$|^mics_(water_|sanitation_|open_defecation|handwash_soap)","Water and sanitation","IHME WASH surfaces and MICS WASH join the DHS WASH columns."
"education","^ihme_(meanyearsofattainment|edu_)|^mics_(w_no_education|w_secondary_plus|w_literate|head_no_education)$|^dhs_w_(any_media|listens_radio|reads_newspaper|watches_tv|health_decision|decides_earnings)$","Education, employment, SES","IHME education surfaces, MICS education and literacy, and the DHS media-exposure / decision items (which were filed under fertility)."
"child_mortality","^dhs_c_(infant_death|neonatal_death|under5_death)$|^dhs_CM_","Child mortality","Sibling-history and birth-history mortality kept apart from morbidity."
"assets","^mics_(electricity|wealth_)","Household assets and characteristics","MICS wealth and electricity join the DHS household assets."
