canonical_regex,pathway,rationale
^soil_zinc_mean_,Soil-crop-human zinc,"Soil zinc availability governs crop zinc density and is the basis of the GeoNutrition soil-to-human hypothesis (Gashu et al. 2021 Nature; Joy/Broadley work in Malawi and Ethiopia)."
^soil_iron_mean_,Soil-crop-human iron,"Soil extractable iron as the analogous pathway for iron; weaker evidence than zinc but the same mechanism."
^soilgrids_ph$,Soil pH -> micronutrient bioavailability,"Zinc and iron uptake are strongly pH-dependent; alkaline soils immobilise both. pH is the standard modifier in the soil-crop literature. NOTE: iSDAsoil pH is not present in the raster exports, so SoilGrids carries this pathway alone."
^soil_totalcarbon_mean_,Soil organic carbon -> fertility,"Organic carbon indexes general soil fertility and nutrient retention."
^soilgrids_(ph|organic_carbon|cec)$,Independent soil measurement,"SoilGrids equivalents retained alongside iSDAsoil so the arm is not hostage to one product, given the two disagree in places."
^ndvi_y201[5-8]$,Vegetation -> food availability,"Greenness as an integrated proxy for agricultural productivity and food availability; standard in food-security prediction."
^evi_t0$,Vegetation (atmospherically robust),"EVI is less saturation-prone than NDVI in high-biomass areas."
^npp_npp_t0$,Net primary productivity,"NPP is the closest remotely-sensed analogue of agricultural output."
^precip_y201[5-8]$,Rainfall -> crop yield,"Rainfall is the dominant yield constraint in rainfed systems across these four countries."
^tclim_(aet|def|pr)_t0$,Water balance,"Actual evapotranspiration and climatic water deficit capture growing-season water stress better than raw rainfall."
^lst_night_annual_mean_t0$,Temperature -> agro-ecology,"Night LST separates agro-ecological zones and correlates with vector ecology."
^elevation$,Agro-ecological zone,"Elevation structures temperature, cropping system and malaria transmission simultaneously."
^access_healthcare_min$,Service access -> supplementation,"Travel time to care governs access to supplementation, fortification and antenatal services."
^ntl_ccnl$,Economic activity,"Night-time lights as the standard proxy for local economic activity and electrification."
^built_surface$,Urbanicity -> diet transition,"Urban households have more diverse but more processed diets; urbanicity is a first-order determinant."
^ghs_pop$,Population,"Population scale conditions market size and service provision."
^human_modification$,Human footprint,"Cumulative human modification indexes land-use intensity."
^grassland_frac$,Livestock -> animal-source foods,"Grazing land proxies livestock density and therefore access to animal-source foods, the key source of bioavailable iron, zinc and B12."
^spam_share_(cereals|roots|pulses)$,Staple crop mix,"Cereal- versus root-dominated staples differ sharply in micronutrient density and in phytate content, which inhibits absorption."
^lcover_(crops|tree)_frac_t0$,Land cover,"Cropland and tree cover fractions distinguish farming systems."
^dhs_w_(no_education|secondary_plus)$,Maternal education,"Maternal education is among the most consistently replicated determinants of child nutritional status."
^dhs_hh_(improved_water|improved_sanitation|open_defecation)$,WASH -> enteric infection,"Enteric infection and environmental enteropathy impair absorption and drive nutrient loss."
^dhs_hh_wealth_mean$,Household wealth,"Wealth conditions dietary quality and diversity."
^dhs_(c_slept_itn|hh_itn_any)$,Malaria exposure,"Malaria drives anaemia and inflammation, which confound and cause iron deficiency."
^dhs_c_(min_diet_diversity|early_initiation)$,Infant feeding,"Dietary diversity and early breastfeeding initiation are core IYCF determinants."
^dhs_w_anc4plus$,Antenatal care,"ANC contact is the delivery channel for iron-folate supplementation."
